TF	statistic	pvalue	zscore	max_auc	re_rank	irwin_hall_pvalue
ERCC2	0.049	0.4805	1.141	0.467	0.482	0.4605
IRF9	0.067	0.4732	0.978	0.47	0.483	0.4613
MEF2D	0.166	0.4342	0.793	0.471	0.483	0.4621
ZNF304	0.023	0.4909	1.224	0.465	0.483	0.4629
INO80	-0.406	0.6577	-1.019	0.575	0.483	0.4629
FXR2	0.168	0.4333	0.631	0.473	0.483	0.4629
EWSR1	-0.365	0.6423	0.291	0.518	0.484	0.4637
ESR1	-2.992	0.9986	0.802	0.587	0.484	0.4645
TBL1X	0.432	0.3328	-0.21	0.493	0.487	0.4702
SMARCC2	0.411	0.3404	0.028	0.483	0.487	0.4718
AHR	-0.142	0.5564	1.062	0.474	0.488	0.4734
ERCC3	0.113	0.4551	0.806	0.471	0.489	0.4742
UBTF	0.451	0.3259	-0.757	0.508	0.494	0.4871
CHD1	-0.194	0.5769	-1.237	0.562	0.495	0.4896
EP400	0.339	0.3674	-0.059	0.486	0.496	0.4904
JUNB	-0.809	0.7907	-0.493	0.561	0.497	0.4936
XCL1	0.343	0.3659	-0.112	0.487	0.498	0.4944
INSM2	0.362	0.3585	-0.011	0.481	0.498	0.496
GATAD2B	-0.544	0.7069	-0.521	0.55	0.499	0.4968
ZNF528	0.261	0.3969	0.076	0.48	0.499	0.4968
ZNF589	0.229	0.4093	0.118	0.48	0.5	0.5001
SP3	0.579	0.2812	-0.722	0.497	0.501	0.5017
KLF1	0.086	0.4657	-0.756	0.521	0.502	0.5041
AFF1	-0.152	0.5604	-0.593	0.531	0.503	0.5074
MAPK1	0.224	0.4115	-1.021	0.523	0.503	0.5074
NUP98-HOXA9	0.062	0.4755	0.756	0.467	0.504	0.5082
CCNT2	0.366	0.3571	-0.285	0.488	0.504	0.5098
MED1	-1.318	0.9062	-1.052	0.668	0.505	0.5114
CUX1	-0.335	0.631	0.412	0.497	0.506	0.5138
ZMIZ1	0.271	0.393	0.028	0.478	0.506	0.5138
C11orf30	-0.013	0.505	0.458	0.477	0.507	0.5162
ZNF318	-0.018	0.5074	0.262	0.486	0.508	0.5171
NR1H3	0.075	0.4702	0.274	0.477	0.509	0.5203
USF2	-0.188	0.5745	-0.88	0.54	0.509	0.5211
REPIN1	-0.408	0.6582	0.114	0.51	0.509	0.5211
SIN3A	-0.355	0.6385	-1.418	0.567	0.51	0.5219
CHAMP1	0.149	0.4409	0.154	0.476	0.512	0.5267
ZEB1	0.185	0.4267	-0.801	0.511	0.512	0.5276
RARA	-1.182	0.8814	-0.859	0.59	0.513	0.5292
ZNF18	-0.219	0.5868	-0.62	0.53	0.513	0.53
ZNF324	0.392	0.3474	-0.293	0.48	0.516	0.5356
BRD9	0.165	0.4343	-0.017	0.479	0.517	0.5389
UBE2I	0.131	0.4477	0.227	0.472	0.519	0.5421
EGLN2	0.165	0.4347	0.036	0.473	0.522	0.5485
LANA	0.282	0.3891	-0.649	0.496	0.522	0.5493
ZMYM3	-0.316	0.6241	0.197	0.494	0.522	0.5501
ZNF438	0.083	0.4668	0.296	0.468	0.526	0.5582
TAF1	-0.573	0.7168	-1.475	0.568	0.528	0.563
ID3	0.166	0.4342	-0.005	0.471	0.528	0.563
SMN1	-0.224	0.5887	1.169	0.449	0.529	0.5646
GTF3C2	0.24	0.4051	-0.446	0.482	0.529	0.5654
ZNF765	-0.213	0.5844	1.091	0.45	0.53	0.567
SSRP1	-0.797	0.7873	0.543	0.498	0.531	0.5686
STAT4	-0.691	0.7553	0.008	0.513	0.531	0.5686
AGO1	-0.014	0.5058	0.492	0.465	0.531	0.5694
HMGN3	0.331	0.3701	-0.64	0.486	0.532	0.5718
NR4A1	-0.293	0.6154	0.108	0.489	0.533	0.5734
GATAD1	0.083	0.4669	-0.52	0.492	0.533	0.5734
ZNF488	-0.299	0.6177	0.911	0.461	0.534	0.5758
PSIP1	-0.097	0.5387	-0.29	0.495	0.535	0.5789
ING5	-0.042	0.5166	0.552	0.462	0.535	0.5789
TBP	-0.415	0.6608	-1.545	0.556	0.538	0.5845
POU3F2	0.011	0.4956	0.094	0.471	0.539	0.5869
EBF1	-1.383	0.9166	-0.828	0.58	0.539	0.5877
NR1H2	-0.063	0.5253	0.07	0.474	0.541	0.5925
ZNF781	-0.322	0.6263	1.026	0.45	0.542	0.5932
HHEX	-0.124	0.5494	0.624	0.459	0.542	0.5932
CHD2	-0.277	0.6092	-1.556	0.547	0.543	0.5956
SP2	-0.138	0.5548	-1.156	0.524	0.544	0.5972
ATF2	-1.157	0.8764	-1.21	0.577	0.546	0.6019
MIER1	0.018	0.4928	0.053	0.469	0.547	0.6059
ZNF644	0.025	0.4901	-0.149	0.474	0.548	0.6067
ETV4	-0.087	0.5346	-0.212	0.482	0.549	0.609
ZNF623	0.019	0.4924	0.046	0.468	0.549	0.6098
ZNF518A	0.147	0.4416	-0.489	0.476	0.55	0.6122
ZNF175	-0.673	0.7494	0.456	0.481	0.551	0.6137
ZNF350	-0.022	0.5088	0.218	0.463	0.553	0.6184
ZNF584	-0.021	0.5082	-0.08	0.471	0.554	0.6208
CDX2	-0.529	0.7016	0.593	0.471	0.555	0.6215
NFE2	-0.558	0.7117	-0.378	0.506	0.555	0.6231
PRDM11	-0.07	0.5278	-1.026	0.506	0.558	0.6285
H2AFX	-0.561	0.7126	0.878	0.461	0.559	0.6301
ZNF197	0.11	0.4563	-0.283	0.469	0.559	0.6316
KDM1B	-0.346	0.6354	0.904	0.441	0.56	0.6324
IKZF1	-1.316	0.906	-0.15	0.532	0.56	0.634
INTS12	0.238	0.4059	-0.837	0.479	0.56	0.634
ZFX	-0.216	0.5853	-0.828	0.505	0.561	0.6347
DNMT1	-0.21	0.5831	-0.105	0.476	0.561	0.6355
GTF2F1	-0.196	0.5778	-1.116	0.514	0.562	0.6363
H3F3B	-0.321	0.6261	0.76	0.443	0.565	0.644
TSC22D4	-1.411	0.9208	0.207	0.517	0.567	0.6471
ZC3H8	-0.009	0.5037	-0.302	0.471	0.567	0.6486
ZNF274	-0.74	0.7703	0.94	0.458	0.568	0.6509
ZNF280D	0.04	0.4839	-0.269	0.467	0.569	0.6516
AR	-13.242	1	0.091	0.557	0.57	0.6555
HES1	-0.43	0.6663	-0.011	0.477	0.57	0.6555
SMARCA5	-0.491	0.6885	0.011	0.477	0.571	0.6562
CREB3	-0.127	0.5505	0.07	0.462	0.572	0.6592
GRIP1	-0.379	0.6476	0.301	0.466	0.572	0.6592
SUMO2	-2.696	0.9965	-0.142	0.557	0.573	0.6615
ELF3	-0.06	0.524	-0.064	0.462	0.574	0.663
TAF7	-1.025	0.8474	-1.255	0.548	0.577	0.6683
ZKSCAN8	-0.058	0.5232	-0.131	0.462	0.577	0.6698
IRAK1	0.235	0.4071	-1.142	0.479	0.578	0.6706
ZFP28	-0.576	0.7177	0.77	0.448	0.581	0.678
MTA2	-0.666	0.7472	-0.387	0.493	0.583	0.6818
SCML2	0.02	0.4922	-0.527	0.468	0.583	0.6818
FOXA1	-8.279	1	0.261	0.543	0.585	0.6847
ZNF574	0.11	0.4563	-0.774	0.47	0.585	0.6855
ZNF391	-0.141	0.556	-0.971	0.489	0.586	0.6884
BRD2	-1.125	0.8696	-1.649	0.564	0.587	0.6891
KDM4C	0.193	0.4236	-1.187	0.475	0.587	0.6906
ZSCAN29	-0.12	0.5478	-0.504	0.47	0.588	0.6921
ZNF707	-0.813	0.7919	0.617	0.462	0.59	0.695
ZNF16	-0.49	0.6878	0.391	0.454	0.59	0.6957
MKL1	0.046	0.4817	-0.615	0.467	0.591	0.6972
HEY1	-0.021	0.5085	-1.084	0.483	0.591	0.6987
ZNF585B	-0.551	0.7093	0.599	0.443	0.592	0.7001
HINFP	-0.27	0.6064	-0.544	0.475	0.592	0.7008
KRAB	-0.237	0.5938	-0.173	0.466	0.593	0.7023
KMT2A	-0.677	0.7508	-1.773	0.544	0.594	0.7037
ZNF580	0.017	0.4934	-0.629	0.467	0.595	0.7052
ZSCAN23	-0.066	0.5263	-0.439	0.463	0.595	0.7059
MAF	-1.059	0.8551	-1.195	0.535	0.596	0.7073
SRC	-0.414	0.6604	-0.297	0.472	0.596	0.7088
ZKSCAN1	-0.736	0.7691	-0.365	0.487	0.597	0.7102
ORC2	-0.124	0.5494	-0.22	0.456	0.597	0.7109
ZNF264	-0.573	0.7168	-0.518	0.485	0.598	0.7117
ZNF586	-0.646	0.7409	0.946	0.42	0.599	0.7131
NOTCH1	-1.858	0.9684	-1.885	0.661	0.599	0.7138
POU2F1	-0.583	0.7201	0.837	0.425	0.6	0.7166
ING2	0.052	0.4793	-0.83	0.467	0.601	0.7188
ZNF71	-0.179	0.5709	-1.218	0.49	0.602	0.7195
HNF4G	-1.252	0.8947	-0.057	0.496	0.604	0.723
ZNF217	-0.457	0.676	0.474	0.434	0.604	0.723
SFPQ	-0.631	0.7358	0.825	0.421	0.605	0.7265
TGIF2	-0.062	0.5246	-0.969	0.472	0.606	0.7279
FOXM1	-1.917	0.9724	-1.087	0.561	0.606	0.7286
CEBPA	-1.864	0.9688	-0.882	0.552	0.607	0.73
GTF2A2	-0.367	0.6431	0.157	0.44	0.608	0.7307
MYC	-3.439	0.9997	-1.554	0.606	0.609	0.7342
ZNF701	-0.295	0.6158	-0.042	0.445	0.61	0.7363
ZNF649	-0.704	0.7594	0.9	0.415	0.61	0.7363
ZNF287	-0.654	0.7436	0.737	0.419	0.614	0.7438
ZNF641	-0.293	0.6151	-0.359	0.457	0.615	0.7452
ZNF792	-0.088	0.5351	-0.725	0.464	0.615	0.7452
KLF5	-0.619	0.732	-0.56	0.477	0.616	0.7465
BRD3	-1.211	0.8871	-1.84	0.556	0.618	0.7513
ZNF292	-0.586	0.7211	0.553	0.425	0.619	0.7519
CBFB	-0.9	0.8159	-1.993	0.553	0.62	0.754
GREB1	-1.238	0.8921	0.361	0.47	0.62	0.7553
KLF12	0.038	0.485	-1.139	0.466	0.622	0.7573
ZTA	-0.853	0.8031	0.65	0.432	0.622	0.7586
ZNF486	-0.958	0.831	0.909	0.421	0.623	0.76
NOTCH3	-0.747	0.7725	0.716	0.411	0.627	0.7678
CBX1	-0.278	0.6093	-1.052	0.473	0.628	0.7685
HNF1A	-0.726	0.7662	0.13	0.446	0.629	0.7704
SETD1A	-0.025	0.5101	-1.57	0.478	0.629	0.7711
GPS2	-0.058	0.5231	-0.986	0.46	0.629	0.7717
GRHL2	-1.767	0.9614	0.407	0.481	0.63	0.773
POLR2A	-18.551	1	-1.847	0.647	0.632	0.7756
C17orf49	-0.105	0.5419	-1.027	0.464	0.633	0.7775
NELFE	-4.455	1	-1.796	0.612	0.633	0.7788
PRDM12	-0.755	0.775	0.57	0.41	0.635	0.782
ZBTB33	-2.343	0.9904	-1.648	0.575	0.636	0.7826
CREB1	-1.768	0.9615	-1.711	0.564	0.636	0.7832
ZXDC	-0.438	0.6693	-0.093	0.435	0.637	0.7845
BAHD1	-1.289	0.9013	0.682	0.445	0.638	0.7863
ZNF248	-0.748	0.7727	0.536	0.411	0.638	0.7863
NCAPG	-1.158	0.8765	-0.323	0.479	0.638	0.787
WHSC1	-0.55	0.7089	-0.079	0.439	0.638	0.7876
L3MBTL4	-0.125	0.5497	-0.907	0.456	0.639	0.7888
PRAME	-0.146	0.558	-0.879	0.455	0.64	0.7907
CENPT	-0.8	0.7883	0.639	0.406	0.64	0.7907
ZNF430	-0.762	0.777	0.501	0.41	0.641	0.7919
FOXJ2	-0.397	0.6544	-0.615	0.452	0.645	0.7993
LEO1	-0.271	0.6067	-0.72	0.446	0.646	0.8011
ZNF639	-0.579	0.7187	-0.913	0.472	0.647	0.8017
SPI1	-4.056	1	-0.732	0.538	0.647	0.8029
IRAK4	-0.064	0.5256	-1.259	0.46	0.647	0.8029
ZNF83	-0.528	0.7014	-1.033	0.472	0.648	0.8035
RUNX1	-5.038	1	-1.484	0.567	0.648	0.8035
RAD51	-0.989	0.8388	-0.391	0.47	0.648	0.8046
ZBTB1	-0.332	0.63	-0.688	0.45	0.648	0.8046
POLR2H	-0.318	0.6248	-0.793	0.451	0.649	0.8052
POLR2B	-0.61	0.729	-1.37	0.485	0.649	0.8058
BANP	-0.798	0.7875	-0.279	0.456	0.651	0.8088
BTAF1	-0.37	0.6444	-0.588	0.44	0.655	0.8146
ZNF280A	-0.757	0.7756	0.275	0.41	0.655	0.8152
RBPJ	-2.201	0.9861	-2.118	0.591	0.655	0.8152
ZBTB16	-1.278	0.8994	-0.78	0.491	0.655	0.8158
DPF1	-0.507	0.694	-0.824	0.46	0.657	0.818
NCOA1	-0.517	0.6975	-0.563	0.445	0.658	0.8203
ZNF48	-0.822	0.7944	0.43	0.404	0.659	0.8209
KLF7	-0.36	0.6404	-1.232	0.466	0.66	0.8226
CSDE1	-0.795	0.7867	-0.59	0.462	0.661	0.8243
HLTF	-0.438	0.6693	-0.673	0.445	0.661	0.8243
TBL1XR1	-0.798	0.7875	-1.514	0.49	0.663	0.8281
ETV1	-0.783	0.7833	-1.788	0.504	0.665	0.8309
YY1	-4.044	1	-1.936	0.586	0.665	0.8314
ZSCAN22	-0.476	0.6831	-1.341	0.469	0.666	0.832
MCM7	-1.195	0.884	-0.01	0.451	0.667	0.8336
ERG	-3.61	0.9998	-2.696	0.613	0.669	0.8363
PPARGC1A	-0.419	0.6623	-0.714	0.437	0.67	0.8379
PRDM2	-0.363	0.6418	-1.23	0.459	0.67	0.8384
RPE	-0.933	0.8247	-1.575	0.496	0.67	0.8389
CREM	-0.926	0.8229	-0.805	0.469	0.671	0.84
SETX	-0.198	0.5786	-1.313	0.451	0.671	0.84
FAM208A	-0.355	0.6387	-1.335	0.459	0.675	0.8457
TCOF1	-0.213	0.5843	-1.381	0.45	0.677	0.8477
FOXP1	-2.188	0.9857	-2.329	0.578	0.677	0.8482
BCL3	-1.279	0.8995	-1.12	0.488	0.68	0.8522
ZNF837	-0.789	0.7849	-0.52	0.437	0.681	0.8537
BRPF3	-0.182	0.5723	-1.682	0.465	0.681	0.8537
E2F4	-1.221	0.889	-1.533	0.499	0.682	0.8547
BPTF	-0.193	0.5766	-1.529	0.451	0.683	0.8567
LMO2	-1.485	0.9312	-0.472	0.47	0.686	0.8605
SPIB	-1.463	0.9282	-0.09	0.453	0.689	0.8643
VDR	-2.741	0.9969	-2.175	0.575	0.689	0.8653
MBOAT4	-0.393	0.6529	-1.151	0.438	0.689	0.8653
HNF1B	-0.779	0.7821	-0.258	0.408	0.69	0.8657
CDK6	-0.273	0.6077	-1.489	0.446	0.69	0.8657
BCAT1	-0.799	0.788	-0.582	0.435	0.692	0.868
ZNF76	-1.034	0.8494	-1.605	0.488	0.692	0.868
NFRKB	-0.689	0.7547	-0.794	0.437	0.692	0.868
PHF2	-0.314	0.6234	-1.594	0.455	0.693	0.8694
MBTD1	-0.339	0.6326	-1.379	0.442	0.693	0.8703
ZNF354C	-0.994	0.8398	0.233	0.389	0.695	0.8717
MEIS1	-1.176	0.8801	-0.15	0.433	0.695	0.8717
RAC3	-0.643	0.7399	-0.654	0.42	0.696	0.8735
E2F1	-2.456	0.993	-1.504	0.525	0.698	0.8762
GLI2	-1.269	0.8978	-2.062	0.522	0.698	0.8766
POLR3A	-1.091	0.86240000000000006	-1.304	0.473	0.699	0.8771
YBX1	-2.119	0.9829	0.346	0.449	0.7	0.8779
HDAC8	-0.805	0.7896	-0.756	0.437	0.7	0.8784
RELA	-7.86	1	-2.261	0.576	0.701	0.8801
GABPA	-4.059	1	-2.236	0.574	0.701	0.8801
BATF	-1.869	0.9692	-1.168	0.499	0.702	0.881
BRDU	-2.141	0.9838	0.475	0.438	0.703	0.8818
ZNF138	-0.865	0.8064	-0.251	0.401	0.704	0.8836
DLX2	-0.871	0.8081	-0.218	0.4	0.705	0.8844
ATF1	-1.461	0.928	-1.421	0.489	0.706	0.8852
ZNF143	-2.649	0.996	-1.933	0.546	0.707	0.8873
MLLT3	-0.458	0.6765	-1.291	0.434	0.707	0.8873
OVOL3	-0.795	0.7867	-1.046	0.442	0.708	0.8877
CRY1	-1.093	0.8627	0.195	0.376	0.708	0.8882
MECOM	-0.707	0.7604	-0.698	0.415	0.709	0.8886
CDK8	-1.77	0.9616	-1.956	0.532	0.709	0.889
NRF1	-2.597	0.9953	-1.656	0.526	0.711	0.891
BRCA1	-1.736	0.9587	-1.693	0.512	0.711	0.891
HBP1	-0.504	0.693	-1.565	0.45	0.711	0.8914
SIX4	-1.104	0.8653	0.133	0.374	0.712	0.8922
HOXB13	-4.507	1	-0.207	0.476	0.712	0.8926
SPDEF	-0.924	0.8221	-1.2	0.455	0.713	0.8938
SETDB1	-2.324	0.9899	-0.609	0.476	0.717	0.8982
JMJD1C	-1.086	0.8612	-0.856	0.443	0.718	0.8986
AFF4	-1.762	0.961	-1.593	0.501	0.72	0.9016
NFYB	-1.024	0.847	-1.275	0.457	0.721	0.902
CLOCK	-1.174	0.8799	-0.485	0.419	0.721	0.902
OGT	-1.424	0.9228	-1.699	0.492	0.721	0.9028
HDGF	-1.867	0.969	-1.213	0.487	0.723	0.9039
ELF1	-1.509	0.9344	-2.004	0.514	0.723	0.9046
ZNF711	-0.552	0.7096	-1.363	0.427	0.725	0.9061
ZSCAN2	-0.87	0.8079	-0.577	0.4	0.725	0.9061
ZNF146	-1.045	0.8521	-1.097	0.447	0.725	0.9065
FOXK1	-1.448	0.9262	-0.791	0.457	0.725	0.9065
ZFAT	-0.941	0.8267	-0.398	0.394	0.725	0.9065
MCM3	-0.995	0.84	-0.674	0.416	0.726	0.9076
USP49	-1.205	0.8859	0.074	0.362	0.727	0.9083
ZNF239	-0.972	0.8344	-0.874	0.429	0.728	0.909
CDK9	-3.749	0.9999	-2.638	0.553	0.731	0.9122
RARG	-1.111	0.8666	-0.88	0.434	0.732	0.9133
TRRAP	-0.892	0.8139	-1.263	0.438	0.732	0.9133
CTBP1	-1.147	0.8744	-0.75	0.429	0.732	0.9133
ZNF136	-1.235	0.8916	0.046	0.359	0.733	0.9143
MCRS1	-0.512	0.6958	-1.567	0.43	0.733	0.9147
TFDP1	-1.423	0.9227	-1.52	0.473	0.735	0.9164
SAP30	-1.353	0.912	-1.777	0.482	0.737	0.9181
TET1	-0.504	0.6927	-1.628	0.431	0.737	0.9184
THAP1	-0.516	0.697	-1.632	0.43	0.741	0.9214
PHF8	-2.009	0.9777	-1.643	0.497	0.742	0.9224
TAF3	-0.488	0.6872	-1.701	0.432	0.742	0.9227
SKI	-0.82	0.7939	-0.992	0.404	0.742	0.9227
CAMTA2	-0.887	0.8126	-0.825	0.398	0.743	0.9236
PAF1	-2.134	0.9836	-1.581	0.493	0.744	0.9243
CDC5L	-1.061	0.8557	-0.859	0.414	0.744	0.9246
AEBP2	-1.308	0.9046	-0.502	0.404	0.746	0.9262
ZFP41	-1.443	0.9255	-0.127	0.389	0.747	0.9268
ZNF8	-1.325	0.9074	-0.738	0.426	0.748	0.9277
LRWD1	-1.376	0.9157	0.022	0.338	0.752	0.9311
FOXK2	-1.674	0.9529	-0.961	0.452	0.752	0.9314
AUTS2	-0.509	0.6946	-1.788	0.431	0.752	0.9317
WDHD1	-1.009	0.8435	-1.21	0.417	0.755	0.934
SPIN1	-0.668	0.748	-1.599	0.418	0.755	0.934
RELB	-1.752	0.9601	-1.075	0.46	0.757	0.9352
ASH1L	-0.571	0.7161	-1.752	0.426	0.757	0.9355
CPSF3L	-1.444	0.9257	-1.677	0.469	0.759	0.9372
COPS2	-0.785	0.7837	-1.486	0.407	0.761	0.9389
BRD1	-0.484	0.686	-1.929	0.432	0.761	0.9389
E2F2	-0.884	0.8116	-1.194	0.399	0.761	0.9389
KLF6	-0.516	0.6971	-1.877	0.43	0.764	0.9405
GLI4	-0.904	0.8171	-1.526	0.421	0.764	0.9408
XRN2	-1.6	0.9452	-1.581	0.468	0.764	0.941
RUNX1T1	-1.7	0.9555	-0.792	0.433	0.766	0.9426
IRF3	-1.243	0.8931	-1.544	0.444	0.767	0.9429
LYL1	-2.057	0.9801	-0.302	0.417	0.767	0.9432
BIRA	-1.581	0.943	-0.71	0.415	0.768	0.9437
THAP11	-0.691	0.7552	-1.704	0.416	0.768	0.9437
CCDC101	-1.151	0.8751	-1.383	0.428	0.768	0.944
ELL2	-2.205	0.9863	-1.606	0.48	0.769	0.9445
HOXA2	-0.746	0.7722	-1.671	0.411	0.77	0.9452
STAT5A	-1.548	0.9392	-1.964	0.482	0.77	0.9455
ZSCAN5A	-0.917	0.8203	-1.677	0.432	0.771	0.9458
NONO	-1.675	0.9531	-0.151	0.368	0.773	0.947
ZNF592	-1.243	0.8931	-0.927	0.4	0.773	0.9475
TLE3	-2.821	0.9976	-0.247	0.423	0.774	0.948
KDM4B	-1.042	0.8514	-1.655	0.434	0.774	0.9483
PTPN11	-0.706	0.76	-1.764	0.415	0.775	0.9488
RAG2	-0.42	0.6628	-2.425	0.436	0.778	0.9509
PLRG1	-1.919	0.9725	0.028	0.347	0.779	0.9512
AGO2	-0.807	0.7902	-1.611	0.406	0.779	0.9514
HOXA4	-0.485	0.6863	-2.152	0.432	0.779	0.9517
ZNF687	-1.11	0.8666	-1.439	0.408	0.78	0.9524
RFX2	-0.894	0.8143	-1.505	0.398	0.782	0.9533
GABP	-0.948	0.8284	-1.882	0.439	0.783	0.9542
SUPT5H	-2.653	0.996	-2.069	0.504	0.785	0.9551
KAT7	-0.558	0.7117	-2.032	0.427	0.785	0.9556
RBL2	-1.864	0.9688	-1.369	0.451	0.787	0.9564
KLF3	-1.04	0.8508	-1.292	0.383	0.787	0.9567
HJURP	-1.181	0.8812	-0.993	0.365	0.788	0.9571
ETS1	-3.649	0.9999	-2.069	0.506	0.789	0.9578
ZNF260	-0.982	0.837	-1.439	0.39	0.789	0.958
ORC1	-0.852	0.803	-1.68	0.402	0.79	0.9582
E2F3	-0.584	0.7202	-2.058	0.425	0.791	0.9588
RXRG	-2.025	0.9786	-1.264	0.447	0.793	0.9599
SOX9	-1.117	0.8679	-1.998	0.453	0.793	0.9599
GTF2B	-2.917	0.9982	-1.684	0.476	0.793	0.9603
GTF2E2	-0.932	0.8243	-1.59	0.394	0.794	0.9605
ZBTB11	-1.811	0.9649	-1.737	0.466	0.796	0.9615
PBX1	-1.286	0.9007	-1.408	0.406	0.796	0.9617
CENPC	-1.631	0.9485	-0.261	0.276	0.797	0.9621
FUS	-1.238	0.8921	-1.477	0.404	0.798	0.9627
KLF13	-1.245	0.8935	-1.56	0.408	0.801	0.9643
NFYA	-2.031	0.9789	-1.582	0.459	0.801	0.9645
DNMT3B	-1.821	0.9657	-1.48	0.438	0.805	0.9668
BCL11B	-1.864	0.9688	-1.841	0.466	0.807	0.9677
ETV5	-1.395	0.9185	-1.278	0.393	0.807	0.9678
HCFC1	-2.267	0.9883	-1.787	0.468	0.808	0.968
NKX3-1	-1.899	0.9712	-0.565	0.365	0.808	0.9684
KMT2D	-3.037	0.9988	-1.845	0.476	0.811	0.9698
RUVBL1	-1.019	0.8459	-1.682	0.386	0.813	0.9706
MAFB	-1.067	0.857	-1.62	0.379	0.813	0.9706
IRF4	-2.833	0.9977	-1.498	0.453	0.816	0.9718
HDAC1	-2.089	0.9816	-2.291	0.48	0.816	0.972
NBN	-2.383	0.9914	-1.906	0.471	0.817	0.9723
DIDO1	-1.398	0.9189	-1.493	0.397	0.817	0.9723
PPARD	-0.904	0.8171	-1.889	0.397	0.819	0.9731
CCND2	-0.693	0.7559	-3.174	0.416	0.821	0.9744
BCL6	-3.143	0.9992	-2.317	0.489	0.823	0.9751
RUNX3	-1.119	0.8685	-1.672	0.372	0.824	0.9754
MED12	-1.389	0.9176	-1.986	0.439	0.824	0.9754
PIAS1	-5.272	1	-0.528	0.393	0.825	0.976
CREB3L4	-1.26	0.8962	-1.502	0.355	0.826	0.9765
TLX1	-1.329	0.9081	-1.369	0.344	0.828	0.9771
LMO1	-1.073	0.8585	-1.787	0.379	0.828	0.9772
ERF	-1.959	0.9749	-1.036	0.392	0.829	0.9775
XBP1	-1.788	0.9631	-1.713	0.435	0.829	0.9775
ZNF207	-2.782	0.9973	-0.508	0.347	0.829	0.9775
ASH2L	-1.748	0.9598	-1.083	0.366	0.83	0.978
HDAC3	-1.922	0.9727	-1.128	0.393	0.832	0.9786
FXR1	-1.043	0.8514	-1.845	0.383	0.832	0.9786
IRF1	-2.49	0.9936	-1.933	0.467	0.833	0.979
TAT	-1.398	0.919	-1.353	0.335	0.833	0.9791
NKRF	-1.486	0.9314	-1.841	0.418	0.834	0.9794
KDM6A	-1.146	0.874	-1.772	0.369	0.834	0.9795
ELK3	-0.95	0.829	-1.964	0.393	0.835	0.9797
VEZF1	-1.354	0.9121	-1.832	0.405	0.837	0.9803
EBNA3C	-2.388	0.9915	-1.079	0.396	0.837	0.9806
CSNK2A1	-1.077	0.8593	-1.852	0.378	0.837	0.9806
ZBTB40	-2.474	0.9933	-2.43	0.475	0.839	0.9811
ZBTB7B	-1.182	0.8814	-1.755	0.365	0.839	0.9812
PML	-2.417	0.9922	-1.974	0.465	0.841	0.9818
CD59	-1.228	0.8903	-1.711	0.359	0.841	0.9818
CBX5	-1.774	0.962	-1.914	0.439	0.842	0.9822
NR2C2	-3.821	0.9999	-2.052	0.472	0.842	0.9823
ESRRA	-1.397	0.9188	-2.778	0.441	0.844	0.9829
GRHL1	-1.449	0.9263	-1.459	0.325	0.844	0.9831
EBNA3	-1.565	0.9412	-1.328	0.299	0.848	0.9842
BCLAF1	-1.27	0.898	-2.731	0.429	0.849	0.9844
NFKB2	-1.727	0.9579	-1.391	0.36	0.849	0.9845
ETV6	-2.436	0.9926	-1.396	0.404	0.85	0.9849
TARDBP	-1.733	0.9585	-2.809	0.456	0.851	0.985
YBX3	-1.73	0.9582	-1.473	0.36	0.852	0.9854
DEAF1	-1.234	0.8914	-1.841	0.359	0.853	0.9856
HOXA6	-0.99	0.839	-2.199	0.389	0.853	0.9858
MYB	-3.373	0.9996	-1.689	0.436	0.856	0.9864
MGEA5	-0.94	0.8263	-2.884	0.394	0.856	0.9865
STAT2	-1.955	0.9747	-1.988	0.44	0.856	0.9866
FOXD2	-1.103	0.8649	-2.014	0.375	0.856	0.9866
DCP1A	-1.6	0.9452	-1.841	0.4	0.857	0.9867
CDK12	-0.979	0.8362	-2.499	0.391	0.857	0.9869
SRSF3	-1.445	0.9258	-1.849	0.386	0.86	0.9876
EHF	-1.842	0.9672	-1.795	0.406	0.861	0.988
SIX5	-2.498	0.9937	-1.899	0.44	0.862	0.9881
BATF3	-1.687	0.9542	-1.36	0.247	0.864	0.9886
EBNA2	-1.593	0.9445	-1.52	0.29	0.864	0.9886
ETV7	-1.28	0.8998	-1.896	0.352	0.865	0.9889
NPAT	-1.128	0.8704	-2.144	0.371	0.866	0.9891
KAT8	-1.999	0.9772	-1.823	0.407	0.867	0.9895
ARRB1	-2.008	0.9777	-1.385	0.338	0.868	0.9898
E2F8	-1.186	0.8821	-2.028	0.364	0.868	0.9898
U2AF1	-1.917	0.9724	-1.726	0.394	0.869	0.9899
MNT	-1.824	0.9659	-1.871	0.405	0.87	0.9902
ETS2	-1.789	0.9632	-1.803	0.395	0.871	0.9903
MLLT1	-2.578	0.995	-2.563	0.459	0.871	0.9903
TRIM22	-1.612	0.9465	-1.844	0.377	0.872	0.9907
ELK1	-3.086	0.999	-1.915	0.436	0.875	0.9911
ARNTL	-2.019	0.9783	-1.782	0.394	0.877	0.9917
BARX1	-1.342	0.9102	-1.935	0.343	0.878	0.9918
SNAPC1	-1.649	0.9504	-1.621	0.268	0.88	0.9922
BARX2	-1.573	0.9421	-1.755	0.296	0.881	0.9925
RBCK1	-1.514	0.935	-1.826	0.311	0.882	0.9926
HMG20A	-1.698	0.9553	-1.581	0.238	0.882	0.9926
