TF_NAME	MATRIX_ID	Z_SCORE	P_VALUE	SAMPLE_AVERAGE	BACKGROUND_AVERAGE	SAMPLE_DEVSTD	SAMPLE_SIZE
Prdm15	MA1616.1	0.752838	0.225485	0.77822	0.774667	0.0460265	93
POU2F2	MA0507.1	0.752557	0.225608	0.785355	0.779783	0.067313	93
NKX6-1	MA0674.1	0.739758	0.229379	0.86839	0.863258	0.0742646	93
GCM2	MA0767.1	0.737323	0.23018	0.838476	0.835222	0.042864	93
ATOH1(var.2)	MA1467.1	0.736647	0.230414	0.833699	0.83003	0.0458938	93
ELK3	MA0759.1	0.735364	0.230899	0.831718	0.827514	0.0416536	93
FOXC1	MA0032.2	0.732274	0.231764	0.830529	0.825264	0.0638645	93
THRB	MA1574.1	0.716274	0.236628	0.8014	0.798607	0.0381416	93
RARA::RXRG	MA1149.1	0.713352	0.237473	0.793554	0.790771	0.041951	93
ZNF341	MA1655.1	0.711038	0.23824	0.82583	0.822091	0.0521903	93
TCF7	MA0769.2	0.702788	0.240832	0.829832	0.825329	0.0604978	93
ETV1	MA0761.2	0.700618	0.241477	0.817355	0.813569	0.054159	93
RREB1	MA0073.1	0.694874	0.243276	0.798952	0.795519	0.049379	93
POU4F3	MA0791.1	0.682878	0.247129	0.714031	0.708699	0.0669861	93
ETV5	MA0765.2	0.680034	0.24802	0.856952	0.853063	0.0501102	93
HNF1B	MA0153.2	0.667152	0.252045	0.727395	0.722486	0.0745508	93
Nr2e1	MA0676.1	0.66492	0.252773	0.838461	0.834504	0.0587337	93
FOXI1	MA0042.2	0.661842	0.253785	0.853965	0.849178	0.0679709	93
HOXC10	MA0905.1	0.657096	0.255292	0.831551	0.827346	0.0622457	93
PRDM1	MA0508.3	0.648348	0.25813	0.852088	0.848109	0.0579526	93
ZNF135	MA1587.1	0.647872	0.258264	0.788947	0.785202	0.056661	93
NFIL3	MA0025.2	0.647048	0.258558	0.774965	0.770336	0.0664563	93
MYF6	MA0667.1	0.641835	0.260237	0.793854	0.790362	0.0518025	93
SOX4	MA0867.2	0.620504	0.267202	0.867262	0.863611	0.0574949	93
PLAG1	MA0163.1	0.617784	0.26807	0.803697	0.800424	0.0545161	93
TFCP2	MA0145.3	0.612643	0.269811	0.805853	0.802875	0.0461817	93
EVX2	MA0888.1	0.611595	0.27012	0.8543	0.850599	0.06185	93
HOXD10	MA1506.1	0.609822	0.27072	0.777943	0.774477	0.0567807	93
MSANTD3	MA1523.1	0.609165	0.270992	0.851165	0.848171	0.0438106	93
HOXB4	MA1499.1	0.596776	0.27509	0.859717	0.85515	0.0723271	93
TEF	MA0843.1	0.596674	0.275129	0.774094	0.770451	0.0571049	93
TP73	MA0861.1	0.590571	0.277116	0.745018	0.74256	0.0433908	93
PBX1	MA0070.1	0.583515	0.279516	0.787823	0.784579	0.055019	93
RXRG	MA0856.1	0.582129	0.279994	0.732612	0.729869	0.0456427	93
SIX1	MA1118.1	0.580095	0.280647	0.79169	0.788541	0.0559822	93
ZBTB7A	MA0750.2	0.577232	0.281663	0.833408	0.829929	0.0563697	93
PKNOX1	MA0782.2	0.576317	0.282005	0.773375	0.770201	0.0476208	93
GSX2	MA0893.2	0.573234	0.282958	0.895283	0.892	0.0600219	93
RXRB	MA0855.1	0.573156	0.283026	0.722464	0.719728	0.0461766	93
ATF2	MA1632.1	0.572644	0.283163	0.783475	0.77972	0.0681399	93
FOSB::JUN	MA1127.1	0.571018	0.283758	0.7572	0.753617	0.05984	93
Six3	MA0631.1	0.569593	0.28427	0.732821	0.729997	0.0443074	93
Pou5f1::Sox2	MA0142.1	0.566062	0.285363	0.752381	0.749041	0.0650211	93
Nr1h3::Rxra	MA0494.1	0.566007	0.285471	0.795861	0.793816	0.033603	93
Foxq1	MA0040.1	0.560073	0.287517	0.809332	0.805412	0.0615042	93
Ptf1a	MA1618.1	0.558728	0.287943	0.82073	0.817587	0.0534173	93
EVX1	MA0887.1	0.552417	0.290072	0.856777	0.85347	0.0605397	93
NR1H2::RXRA	MA0115.1	0.547005	0.291948	0.676761	0.674225	0.0452614	93
Nr2f6(var.2)	MA0728.1	0.546567	0.292077	0.715702	0.713006	0.0503074	93
HMBOX1	MA0895.1	0.540813	0.294065	0.834806	0.83189	0.0543443	93
NR1I2	MA1533.1	0.540699	0.294149	0.787334	0.785427	0.032221	93
FOSL1::JUN(var.2)	MA1129.1	0.539334	0.294594	0.768585	0.765238	0.0602339	93
POU3F4	MA0789.1	0.535034	0.296086	0.792683	0.788443	0.0759749	93
GABPA	MA0062.3	0.507034	0.305812	0.808998	0.806282	0.0552678	93
E2F7	MA0758.1	0.489833	0.31197	0.693825	0.69133	0.041649	93
ZIC1	MA0696.1	0.489229	0.312116	0.776708	0.774242	0.049536	93
ESR2	MA0258.2	0.484509	0.313802	0.802198	0.800151	0.0404088	93
GRHL1	MA0647.1	0.479126	0.315718	0.751525	0.748851	0.0530909	93
MEIS2(var.2)	MA1640.1	0.47696	0.316524	0.756683	0.753406	0.0596268	93
ESR1	MA0112.3	0.47529	0.317083	0.717297	0.715143	0.0432587	93
ZKSCAN5	MA1652.1	0.472721	0.318025	0.823894	0.821351	0.0481694	93
FOSL2::JUNB(var.2)	MA1139.1	0.463822	0.321173	0.751581	0.74857	0.0638285	93
ONECUT1	MA0679.2	0.463747	0.321238	0.721056	0.717223	0.0736057	93
Znf423	MA0116.1	0.462244	0.321707	0.828305	0.826226	0.0474242	93
POU6F2	MA0793.1	0.460619	0.322325	0.802729	0.799538	0.0676567	93
Pparg::Rxra	MA0065.2	0.459677	0.322641	0.813337	0.811557	0.03978	93
FOSL2::JUN(var.2)	MA1131.1	0.457388	0.323498	0.780398	0.777587	0.0583435	93
FOXL1	MA0033.2	0.455979	0.324025	0.88528	0.88206	0.0634885	93
HOXD9	MA0913.2	0.451744	0.325541	0.817273	0.814017	0.0664055	93
Rxra	MA0512.2	0.444573	0.328106	0.725039	0.722924	0.0467933	93
POU3F1	MA0786.1	0.442213	0.328965	0.780286	0.776844	0.0757154	93
MEOX2	MA0706.1	0.436223	0.331146	0.8441	0.841309	0.0608127	93
JUNB(var.2)	MA1140.2	0.433067	0.332282	0.721753	0.719098	0.0598955	93
Creb5	MA0840.1	0.432149	0.33261	0.759157	0.756349	0.0643496	93
HOXA1	MA1495.1	0.430584	0.333184	0.871783	0.869061	0.0618829	93
E2F8	MA0865.1	0.428799	0.33391	0.734699	0.732586	0.0379691	93
ELK1	MA0028.2	0.421486	0.336595	0.807992	0.805366	0.0443777	93
JDP2(var.2)	MA0656.1	0.414961	0.338883	0.741164	0.738511	0.0637479	93
HOXC9	MA0485.2	0.414919	0.338908	0.781691	0.779078	0.0612714	93
HOXA5	MA0158.2	0.407658	0.341584	0.866187	0.863656	0.0585535	93
PBX2	MA1113.2	0.401988	0.343689	0.767383	0.764427	0.0655207	93
DBP	MA0639.1	0.39704	0.345507	0.783862	0.78137	0.0570159	93
PPARA::RXRA	MA1148.1	0.396808	0.345576	0.760681	0.759183	0.0360096	93
GATA1	MA0035.4	0.396496	0.345719	0.810497	0.807908	0.0572054	93
LHX1	MA1518.1	0.395562	0.345998	0.888014	0.885667	0.0623927	93
ETS2	MA1484.1	0.393023	0.347041	0.850513	0.848397	0.040388	93
POU5F1B	MA0792.1	0.382767	0.350744	0.815707	0.812863	0.0766726	93
MAFK	MA0496.3	0.378688	0.352271	0.748098	0.745989	0.0556898	93
POU4F2	MA0683.1	0.378588	0.352369	0.688307	0.685626	0.0581443	93
POU2F3	MA0627.2	0.378127	0.352501	0.771646	0.768735	0.0725499	93
ZBTB32	MA1580.1	0.376757	0.352998	0.779981	0.777553	0.062974	93
POU3F3	MA0788.1	0.368948	0.355931	0.764444	0.761638	0.0690422	93
NFIX	MA0671.1	0.367116	0.356622	0.931623	0.93025	0.0331518	93
FOSB::JUNB(var.2)	MA1136.1	0.366699	0.356739	0.782404	0.780211	0.0597018	93
HOXD4	MA1507.1	0.366398	0.35685	0.877852	0.8751	0.075306	93
RARG(var.3)	MA1553.1	0.365704	0.357178	0.74292	0.741353	0.033966	93
HOXC11	MA0651.1	0.364016	0.357748	0.793014	0.790853	0.0581459	93
NFIB	MA1643.1	0.363242	0.358036	0.713479	0.711735	0.0472194	93
ETV4	MA0764.2	0.359671	0.359384	0.8861	0.883767	0.0615797	93
NR2F1(var.2)	MA1537.1	0.355776	0.360821	0.755022	0.753464	0.0444273	93
ZNF16	MA1654.1	0.353456	0.361718	0.701593	0.700343	0.0330293	93
VDR	MA0693.2	0.353472	0.361728	0.878847	0.876937	0.0478611	93
CDX2	MA0465.2	0.351107	0.362601	0.788164	0.7856	0.0679308	93
CEBPG(var.2)	MA1636.1	0.347273	0.364027	0.763148	0.761107	0.0572747	93
FOXD1	MA0031.1	0.344893	0.36492	0.836832	0.834363	0.0702924	93
NR1I3	MA1534.1	0.336974	0.367936	0.842925	0.841076	0.0482709	93
LIN54	MA0619.1	0.330465	0.370369	0.851881	0.848971	0.0848115	93
Crx	MA0467.1	0.328354	0.371168	0.819363	0.817748	0.0472702	93
ATF7	MA0834.1	0.323201	0.373111	0.729767	0.727749	0.0616915	93
MEOX1	MA0661.1	0.31297	0.377006	0.837188	0.835225	0.060012	93
POU3F2	MA0787.1	0.307974	0.37891	0.769582	0.767246	0.0718482	93
ATF3	MA0605.2	0.295669	0.383583	0.739574	0.737623	0.0676048	93
ZNF75D	MA1601.1	0.288527	0.386349	0.839161	0.837522	0.0516443	93
HOXB13	MA0901.2	0.274709	0.391651	0.770053	0.767805	0.0748868	93
MZF1	MA0056.2	0.269693	0.393596	0.820746	0.819369	0.0438132	93
FERD3L	MA1485.1	0.267023	0.394618	0.771424	0.770135	0.0426611	93
Sox3	MA0514.1	0.266255	0.394883	0.874838	0.873454	0.0520797	93
Rarb	MA0857.1	0.255914	0.398852	0.685121	0.683853	0.0538533	93
SRF	MA0083.3	0.254998	0.399222	0.685106	0.683802	0.0527054	93
FEV	MA0156.2	0.24313	0.403886	0.841984	0.840666	0.0393413	93
FOSL1::JUND(var.2)	MA1143.1	0.229695	0.409065	0.811056	0.80978	0.0504754	93
KLF17	MA1514.1	0.220704	0.412536	0.783706	0.782544	0.0550877	93
CDX4	MA1473.1	0.213445	0.415386	0.794245	0.792821	0.0644875	93
DPRX	MA1480.1	0.212536	0.415747	0.805772	0.804567	0.0531311	93
JUN	MA0488.1	0.211941	0.415969	0.795786	0.794577	0.0562422	93
Arid5a	MA0602.1	0.207928	0.417548	0.783547	0.781936	0.0721218	93
RARB(var.3)	MA1552.1	0.207826	0.417611	0.755465	0.754601	0.0337159	93
SPDEF	MA0686.1	0.205849	0.418362	0.802728	0.801715	0.0454114	93
ATOH7	MA1468.1	0.193761	0.42309	0.850654	0.84984	0.039808	93
THRB(var.2)	MA1575.1	0.187892	0.425403	0.739866	0.739063	0.0377963	93
THAP1	MA0597.1	0.183788	0.426988	0.922242	0.921664	0.0323887	93
HLTF	MA0109.1	0.177752	0.429389	0.944953	0.944413	0.0263534	93
ZNF140	MA1589.1	0.165155	0.43435	0.6872	0.686559	0.0323423	93
Atf1	MA0604.1	0.160358	0.436227	0.840219	0.839285	0.054001	93
HOXA6	MA1497.1	0.155145	0.438278	0.848399	0.84754	0.0531784	93
HOXB9	MA1503.1	0.14864	0.440845	0.789786	0.78887	0.059636	93
ZNF263	MA0528.2	0.14781	0.441183	0.857522	0.856546	0.0592628	93
GATA6	MA1104.2	0.144088	0.442641	0.779846	0.778888	0.0656805	93
FOS::JUN(var.2)	MA1126.1	0.140344	0.444132	0.749343	0.74861	0.0475289	93
ZBTB6	MA1581.1	0.139464	0.444485	0.826833	0.826086	0.0470298	93
ZNF148	MA1653.1	0.133088	0.447002	0.851727	0.850645	0.0747182	93
EGR1	MA0162.4	0.126199	0.449731	0.813104	0.812172	0.0678055	93
SMAD2::SMAD3::SMAD4	MA0513.1	0.118964	0.452582	0.806888	0.806328	0.0494469	93
CTCF	MA0139.1	0.115841	0.453836	0.779952	0.779428	0.0419686	93
FOSL2::JUND(var.2)	MA1145.1	0.110882	0.455798	0.7571	0.756443	0.0582837	93
HLF	MA0043.3	0.108343	0.456802	0.771923	0.771213	0.0666023	93
Ddit3::Cebpa	MA0019.1	0.108122	0.456899	0.826635	0.826143	0.0426366	93
Hoxa11	MA0911.1	0.107291	0.457219	0.797755	0.797164	0.0563803	93
HOXB7	MA1501.1	0.103628	0.458688	0.836237	0.835693	0.0473031	93
HAND2	MA1638.1	0.0959247	0.461738	0.86453	0.863946	0.0615922	93
HOXC12	MA0906.1	0.0727971	0.470946	0.775585	0.775166	0.0571087	93
ZNF740	MA0753.2	0.0592231	0.476357	0.804105	0.803708	0.0658385	93
GATA2	MA0036.3	0.0581979	0.476763	0.81913	0.818733	0.0695428	93
Plagl1	MA1615.1	0.0484775	0.480642	0.826274	0.825969	0.0628387	93
GMEB2	MA0862.1	0.044181	0.482359	0.813344	0.813104	0.050953	93
EN2	MA0642.1	0.0396933	0.484143	0.864546	0.86434	0.0567648	93
ZBTB14	MA1650.1	0.030116	0.487973	0.820562	0.820331	0.0713236	93
RORC	MA1151.1	0.0250368	0.489999	0.831681	0.831566	0.0469883	93
ERG	MA0474.2	0.0245151	0.490213	0.848699	0.84857	0.0394347	93
Nr2f6	MA0677.1	0.0219483	0.491234	0.744464	0.744364	0.0443833	93
HOXC13	MA0907.1	0.0187594	0.492508	0.777667	0.777553	0.0571078	93
HOXB6	MA1500.1	0.00949425	0.496208	0.887857	0.887805	0.0507719	93
JUN::JUNB(var.2)	MA1133.1	0.00789367	0.496847	0.770461	0.770415	0.0556016	93
NEUROG2(var.2)	MA1642.1	0.00212362	0.499152	0.832295	0.832284	0.0486952	93
FLI1	MA0475.2	-0.00690479	0.502756	0.829232	0.82927	0.038587	93
ARNT::HIF1A	MA0259.1	-0.0093459	0.503733	0.890608	0.890666	0.0616793	93
TAL1::TCF3	MA0091.1	-0.00976479	0.503901	0.812801	0.812849	0.0490227	93
ZNF652	MA1657.1	-0.0131213	0.505241	0.766573	0.766657	0.063147	93
NEUROD1	MA1109.1	-0.0146097	0.505835	0.824043	0.824118	0.0471629	93
POU2F1	MA0785.1	-0.0184307	0.507362	0.780317	0.780451	0.0724592	93
RXRB(var.2)	MA1555.1	-0.0236802	0.509454	0.763648	0.763751	0.0348727	93
Rarg	MA0859.1	-0.0355939	0.514215	0.703399	0.703576	0.0491021	93
Hand1::Tcf3	MA0092.1	-0.0430431	0.517188	0.880519	0.880692	0.0393454	93
SREBF2(var.2)	MA0828.1	-0.0493446	0.519696	0.780669	0.780952	0.0473291	93
HOXC4	MA1504.1	-0.0534078	0.521325	0.882168	0.882558	0.0737131	93
CDX1	MA0878.2	-0.0556772	0.522228	0.783095	0.783456	0.06293	93
PBX3	MA1114.1	-0.0676692	0.527007	0.757002	0.757345	0.0472467	93
VEZF1	MA1578.1	-0.0678496	0.527078	0.867123	0.867548	0.0574396	93
SOX14	MA1562.1	-0.0719121	0.528696	0.778432	0.778832	0.0508992	93
JUND(var.2)	MA0492.1	-0.0814232	0.532491	0.794393	0.794849	0.0559383	93
ZIC4	MA0751.1	-0.0821123	0.532759	0.805912	0.806296	0.043454	93
ETS1	MA0098.3	-0.084586	0.53373	0.845826	0.846278	0.0402035	93
EWSR1-FLI1	MA0149.1	-0.0889006	0.535451	0.688227	0.688734	0.0466237	93
TBXT	MA0009.2	-0.0909725	0.536286	0.699726	0.700128	0.0416835	93
TFAP4(var.2)	MA1570.1	-0.102577	0.540894	0.860372	0.860875	0.0435175	93
THAP11	MA1573.1	-0.104204	0.541542	0.713179	0.713794	0.0536772	93
Isl1	MA1608.1	-0.134688	0.553647	0.816519	0.81737	0.0652154	93
RUNX3	MA0684.2	-0.135171	0.553836	0.823034	0.823821	0.0592869	93
TBX15	MA0803.1	-0.156014	0.562066	0.833953	0.834836	0.0545298	93
CREB3L4(var.2)	MA1475.1	-0.169976	0.567566	0.779272	0.780213	0.0525369	93
MEIS2	MA0774.1	-0.177224	0.570425	0.860191	0.861224	0.057685	93
Nr5a2	MA0505.1	-0.188233	0.574742	0.777863	0.778761	0.0451776	93
XBP1	MA0844.1	-0.192518	0.576439	0.753265	0.754141	0.0469703	93
HOXA13	MA0650.2	-0.194191	0.577083	0.79176	0.792936	0.0590205	93
MEIS1	MA0498.2	-0.195317	0.577522	0.924364	0.925456	0.0535868	93
ZIC5	MA1584.1	-0.200249	0.579451	0.773074	0.774101	0.0485883	93
NR1D2	MA1532.1	-0.209943	0.58327	0.800151	0.800923	0.0394007	93
MAZ	MA1522.1	-0.211289	0.583767	0.876241	0.877914	0.074541	93
TFAP2C(var.3)	MA0815.1	-0.215067	0.585249	0.80818	0.809526	0.0608893	93
POU5F1	MA1115.1	-0.217957	0.586372	0.807079	0.808771	0.073892	93
ZIC3	MA0697.1	-0.222541	0.588162	0.785112	0.786209	0.0476193	93
ATF6	MA1466.1	-0.23072	0.591387	0.734641	0.735722	0.0530771	93
RARA	MA0729.1	-0.236	0.593419	0.693365	0.694408	0.0465004	93
NR1H4	MA1110.1	-0.236187	0.59346	0.794382	0.795691	0.0507599	93
ATF4	MA0833.2	-0.239547	0.594771	0.761495	0.762907	0.0557779	93
TBX4	MA0806.1	-0.246185	0.597352	0.861177	0.862423	0.0492866	93
TBX5	MA0807.1	-0.247825	0.597991	0.870741	0.87192	0.0471435	93
RELB	MA1117.1	-0.256129	0.601225	0.82305	0.824403	0.0563515	93
POU1F1	MA0784.1	-0.258962	0.602291	0.731482	0.733381	0.07037	93
Znf281	MA1630.1	-0.259835	0.602622	0.817647	0.819408	0.0633118	93
OLIG1	MA0826.1	-0.261255	0.603174	0.772437	0.773932	0.0544191	93
RORB	MA1150.1	-0.27453	0.608288	0.824968	0.826326	0.0467683	93
SOX2	MA0143.4	-0.276452	0.609034	0.821464	0.823216	0.0617294	93
CENPB	MA0637.1	-0.280704	0.610691	0.781641	0.78272	0.0404679	93
HNF4A(var.2)	MA1494.1	-0.281955	0.611126	0.726375	0.727653	0.0403707	93
NR1D1	MA1531.1	-0.286722	0.61298	0.772299	0.773504	0.0413547	93
TFAP2A(var.3)	MA0872.1	-0.291724	0.614895	0.80245	0.804318	0.0628423	93
HOXD12	MA0873.1	-0.303405	0.619357	0.781692	0.783365	0.053802	93
HINFP	MA0131.2	-0.304985	0.619934	0.817466	0.819262	0.0523093	93
Sox5	MA0087.1	-0.310439	0.622039	0.861459	0.863871	0.0762326	93
ERF	MA0760.1	-0.313976	0.623311	0.829645	0.83128	0.0368134	93
HOXD13	MA0909.2	-0.314132	0.623439	0.807684	0.809276	0.0490532	93
Hic1	MA0739.1	-0.318901	0.62526	0.863022	0.864458	0.0449302	93
ZNF460	MA1596.1	-0.319871	0.625631	0.775522	0.777914	0.0752412	93
Mecom	MA0029.1	-0.329159	0.629143	0.747432	0.749394	0.0585176	93
SREBF2	MA0596.1	-0.338453	0.632621	0.832802	0.834496	0.0439614	93
ETV2	MA0762.1	-0.338715	0.632675	0.803358	0.805106	0.0368085	93
Bhlha15	MA0607.1	-0.347538	0.636056	0.855629	0.857561	0.0513381	93
NR4A1	MA1112.2	-0.348737	0.636532	0.817241	0.819326	0.0598146	93
Nkx2-5(var.2)	MA0503.1	-0.359997	0.640713	0.851949	0.853514	0.0379401	93
CREB3L4	MA1474.1	-0.36903	0.644124	0.793343	0.795119	0.0471139	93
GATA4	MA0482.2	-0.370927	0.644829	0.800472	0.802708	0.0586988	93
SOX8	MA0868.2	-0.384981	0.65005	0.825994	0.828354	0.0587422	93
ZNF24	MA1124.1	-0.385106	0.650073	0.706984	0.709547	0.0593443	93
TFAP2B(var.3)	MA0813.1	-0.39755	0.654715	0.813782	0.816155	0.0596599	93
Smad4	MA1153.1	-0.399473	0.655395	0.853419	0.855839	0.0558455	93
RORA(var.2)	MA0072.1	-0.407313	0.658313	0.762571	0.76483	0.055732	93
TFAP2A(var.2)	MA0810.1	-0.415817	0.661427	0.871236	0.873406	0.0515677	93
ZBTB26	MA1579.1	-0.417249	0.661969	0.824252	0.826646	0.059144	93
NEUROG2	MA0669.1	-0.418071	0.662273	0.790518	0.792675	0.0535509	93
SOX18	MA1563.1	-0.423332	0.664088	0.918023	0.919466	0.0253101	93
GATA1::TAL1	MA0140.2	-0.424261	0.664469	0.760265	0.762472	0.0451478	93
HIF1A	MA1106.1	-0.424618	0.664657	0.831327	0.833935	0.0625209	93
GLIS3	MA0737.1	-0.427571	0.665731	0.740907	0.742723	0.042935	93
TBX1	MA0805.1	-0.427804	0.665801	0.830501	0.833	0.0568974	93
DMRT3	MA0610.1	-0.436842	0.669076	0.784059	0.786884	0.0609588	93
NFIA	MA0670.1	-0.445242	0.672101	0.840681	0.843625	0.0593425	93
CREM	MA0609.2	-0.446386	0.672537	0.724279	0.727025	0.0586967	93
NR2F1	MA0017.2	-0.447451	0.672952	0.807231	0.809668	0.0557325	93
SOX9	MA0077.1	-0.450746	0.674127	0.841403	0.843883	0.0544457	93
TBX6	MA1567.1	-0.451779	0.674504	0.851759	0.85378	0.0447437	93
RXRG(var.2)	MA1556.1	-0.456949	0.676312	0.758195	0.760278	0.0394891	93
MYC	MA0147.3	-0.461736	0.678049	0.804683	0.807524	0.0560532	93
ZSCAN29	MA1602.1	-0.466739	0.679907	0.78229	0.784442	0.0488067	93
BHLHE23	MA0817.1	-0.468477	0.680483	0.757956	0.760671	0.055422	93
HOXA7	MA1498.1	-0.474569	0.682669	0.871889	0.874915	0.0622218	93
TBX18	MA1565.1	-0.480102	0.684636	0.813236	0.815464	0.0447969	93
HOXB8	MA1502.1	-0.486496	0.686908	0.863613	0.866955	0.0663328	93
ISL2	MA0914.1	-0.493627	0.689445	0.863117	0.865869	0.0553358	93
GATA3	MA0037.3	-0.498631	0.691226	0.859353	0.862595	0.0664563	93
ZFP57	MA1583.1	-0.499416	0.691442	0.819437	0.822293	0.0506444	93
HES7	MA0822.1	-0.50335	0.692853	0.727527	0.730391	0.0538478	93
MGA	MA0801.1	-0.508538	0.694708	0.854047	0.856725	0.0534579	93
ZSCAN4	MA1155.1	-0.518321	0.698074	0.72849	0.730937	0.0418739	93
Sox6	MA0515.1	-0.52413	0.70015	0.860372	0.863219	0.054316	93
TFAP2B	MA0811.1	-0.530737	0.702436	0.854886	0.857551	0.0492416	93
E2F2	MA0864.2	-0.536656	0.704515	0.753058	0.755513	0.0475064	93
Atoh1	MA0461.2	-0.549761	0.708993	0.820724	0.823517	0.0489894	93
NFYA	MA0060.3	-0.550548	0.709234	0.815318	0.818924	0.0590616	93
TFAP2C	MA0524.2	-0.566068	0.71457	0.850835	0.853662	0.0485189	93
NKX2-5	MA0063.2	-0.582838	0.72014	0.830372	0.833775	0.0426964	93
RXRA::VDR	MA0074.1	-0.589413	0.722427	0.753591	0.755991	0.0369899	93
NR3C2	MA0727.1	-0.590096	0.722675	0.718327	0.7212	0.0462006	93
HOXA4	MA1496.1	-0.591864	0.723284	0.892022	0.895059	0.0503315	93
Ar	MA0007.3	-0.600267	0.726063	0.722459	0.725172	0.0416349	93
EOMES	MA0800.1	-0.607209	0.728355	0.782754	0.785714	0.0430304	93
POU6F1(var.2)	MA1549.1	-0.631749	0.736437	0.829961	0.833784	0.0529582	93
HOXD8	MA0910.2	-0.641816	0.739758	0.858074	0.862371	0.0639576	93
HES5	MA0821.1	-0.653983	0.743693	0.744666	0.748255	0.0520358	93
GLIS2	MA0736.1	-0.665898	0.747541	0.785036	0.7882	0.047029	93
TCF21(var.2)	MA1568.1	-0.674503	0.750235	0.80774	0.810428	0.0356849	93
Gmeb1	MA0615.1	-0.683952	0.753279	0.814189	0.817285	0.0446474	93
ZNF136	MA1588.1	-0.6852	0.753675	0.72448	0.727715	0.0467491	93
Twist2	MA0633.1	-0.694731	0.756653	0.801107	0.805608	0.0617044	93
Sox17	MA0078.1	-0.717778	0.763859	0.87083	0.875054	0.0597714	93
MEIS3	MA0775.1	-0.718711	0.764138	0.882874	0.886699	0.0533452	93
PPARG	MA0066.1	-0.73205	0.768138	0.738384	0.740964	0.0292365	93
NRF1	MA0506.1	-0.734635	0.769001	0.838867	0.844252	0.071134	93
ESRRB	MA0141.3	-0.736881	0.769642	0.76729	0.771515	0.0512006	93
NR3C1	MA0113.3	-0.754444	0.774981	0.72106	0.724725	0.046004	93
Rarb(var.2)	MA0858.1	-0.757509	0.775939	0.697517	0.700934	0.0456728	93
NKX2-8	MA0673.1	-0.786705	0.784559	0.891762	0.895011	0.0398009	93
TFAP2B(var.2)	MA0812.1	-0.789095	0.785264	0.849083	0.853532	0.0548039	93
NFIC	MA0161.2	-0.800207	0.78845	0.828798	0.833577	0.0530978	93
TBX3	MA1566.1	-0.804556	0.789821	0.87869	0.881918	0.0431668	93
OSR1	MA1542.1	-0.814838	0.792666	0.830037	0.833809	0.0412642	93
MITF	MA0620.3	-0.817259	0.793334	0.74674	0.751349	0.0476276	93
Arntl	MA0603.1	-0.819592	0.793979	0.812424	0.817467	0.049487	93
BHLHE22	MA0818.1	-0.824011	0.795331	0.788713	0.793098	0.0518665	93
TFAP2A	MA0003.4	-0.824153	0.795349	0.813753	0.81862	0.0553507	93
Rarg(var.2)	MA0860.1	-0.83226	0.797706	0.691552	0.695376	0.0475765	93
Dux	MA0611.1	-0.836134	0.798757	0.841289	0.847694	0.0744072	93
MZF1(var.2)	MA0057.1	-0.839674	0.799774	0.906655	0.909997	0.0400964	93
NEUROG1	MA0623.2	-0.840199	0.799899	0.787573	0.792074	0.0519974	93
TBX19	MA0804.1	-0.843506	0.800782	0.679328	0.682991	0.0389956	93
EBF1	MA0154.4	-0.849187	0.802381	0.777418	0.782074	0.0505539	93
NR2F2	MA1111.1	-0.854974	0.804079	0.816981	0.822183	0.0650721	93
MXI1	MA1108.2	-0.855565	0.804171	0.858373	0.863902	0.061777	93
SREBF1	MA0595.1	-0.859351	0.805179	0.848336	0.852476	0.0429257	93
ETV3	MA0763.1	-0.867756	0.807422	0.831519	0.835857	0.0380838	93
E2F4	MA0470.2	-0.872125	0.808723	0.743276	0.747338	0.0446414	93
CREB3	MA0638.1	-0.872595	0.808922	0.756202	0.760337	0.0506844	93
Mlxip	MA0622.1	-0.874349	0.809285	0.817291	0.823892	0.0666314	93
RORA	MA0071.1	-0.877361	0.810207	0.81855	0.823488	0.0591901	93
NR4A2	MA0160.1	-0.878438	0.810481	0.889501	0.893566	0.0473513	93
MLXIPL	MA0664.1	-0.887951	0.812908	0.790103	0.795318	0.0452929	93
Wt1	MA1627.1	-0.898545	0.81583	0.823066	0.828844	0.0598172	93
MTF1	MA0863.1	-0.902489	0.816817	0.725161	0.728912	0.0340061	93
RARA(var.2)	MA0730.1	-0.924186	0.822693	0.706875	0.710809	0.0467548	93
TFEC	MA0871.2	-0.924964	0.822724	0.789682	0.79543	0.050791	93
MSGN1	MA1524.1	-0.934447	0.825277	0.836122	0.840896	0.0504061	93
TFAP2E	MA1569.1	-0.93468	0.825337	0.870086	0.876258	0.0650883	93
TBR1	MA0802.1	-0.942582	0.827346	0.797184	0.80205	0.0492442	93
RUNX1	MA0002.2	-0.959918	0.831787	0.848006	0.852338	0.0459922	93
Nr2e3	MA0164.1	-0.961098	0.831995	0.823117	0.830206	0.0643102	93
GLIS1	MA0735.1	-0.965684	0.833192	0.697143	0.701599	0.0439099	93
HIC2	MA0738.1	-0.973668	0.835152	0.900671	0.90489	0.0389703	93
HNF4G	MA0484.2	-0.975489	0.835548	0.77954	0.784884	0.0437416	93
E2F1	MA0024.3	-1.02173	0.846915	0.764861	0.7698	0.0517231	93
ZKSCAN1	MA1585.1	-1.0343	0.849755	0.785307	0.790744	0.0464839	93
PAX3(var.2)	MA1546.1	-1.03983	0.851067	0.744989	0.749015	0.0358534	93
