TF	statistic	pvalue	zscore	max_auc	re_rank	irwin_hall_pvalue
SOX4	0.141	4.439e-01	0.457	0.442	0.431	3.485e-01
ZNF549	-0.053	5.212e-01	1.059	0.435	0.432	3.500e-01
TRAF7	0.208	4.175e-01	-1.208	0.484	0.433	3.516e-01
MLLT1	-0.663	7.465e-01	-1.156	0.552	0.435	3.554e-01
ZNF273	0.408	3.415e-01	-0.639	0.458	0.435	3.562e-01
ATF7IP	-0.380	6.479e-01	0.936	0.451	0.438	3.631e-01
ZNF257	0.212	4.161e-01	-0.156	0.448	0.441	3.693e-01
FOXA1	-1.762	9.609e-01	0.976	0.537	0.444	3.755e-01
TFAP2A	-0.308	6.211e-01	0.262	0.457	0.448	3.833e-01
SMN1	-0.196	5.776e-01	1.203	0.428	0.450	3.896e-01
RBPJ	-1.197	8.843e-01	-1.339	0.636	0.451	3.911e-01
ZFP28	-0.266	6.047e-01	1.032	0.434	0.452	3.935e-01
SRC	-0.352	6.378e-01	-0.203	0.468	0.453	3.951e-01
ICE2	0.121	4.518e-01	0.015	0.443	0.454	3.966e-01
ZNF2	-0.193	5.765e-01	-0.925	0.483	0.454	3.982e-01
EGR3	0.064	4.744e-01	0.189	0.441	0.455	3.998e-01
MAZ	-0.029	5.115e-01	-1.739	0.510	0.458	4.053e-01
ILK	-0.290	6.139e-01	0.936	0.436	0.458	4.053e-01
ZNF585A	-0.015	5.060e-01	0.336	0.437	0.459	4.077e-01
KLF4	-0.825	7.953e-01	-0.299	0.494	0.459	4.093e-01
ZNF436	-0.103	5.411e-01	0.683	0.433	0.460	4.101e-01
TET3	-0.029	5.117e-01	-1.109	0.475	0.460	4.109e-01
ZTA	-0.369	6.440e-01	1.063	0.435	0.460	4.117e-01
ZNF17	-0.203	5.805e-01	1.052	0.427	0.460	4.117e-01
CLOCK	-0.289	6.138e-01	0.947	0.432	0.462	4.148e-01
TRIM25	-0.246	5.971e-01	-0.970	0.482	0.462	4.156e-01
GFI1B	-0.445	6.719e-01	-0.091	0.465	0.463	4.164e-01
SETD1A	0.232	4.084e-01	-1.162	0.461	0.464	4.188e-01
CBX8	0.091	4.638e-01	-0.916	0.464	0.464	4.204e-01
NFIA	-0.157	5.625e-01	0.441	0.437	0.465	4.212e-01
ZNF649	-0.348	6.362e-01	1.424	0.421	0.466	4.236e-01
CENPT	-0.298	6.171e-01	1.239	0.424	0.466	4.236e-01
SP140	-0.132	5.526e-01	0.210	0.440	0.466	4.244e-01
ZNF586	-0.332	6.302e-01	1.347	0.422	0.467	4.268e-01
ZNF441	0.257	3.985e-01	-0.761	0.450	0.469	4.300e-01
TBP	-0.532	7.025e-01	-1.643	0.537	0.469	4.308e-01
ARNT	-0.479	6.839e-01	-0.342	0.472	0.469	4.316e-01
PKNOX1	-0.174	5.689e-01	0.308	0.437	0.473	4.388e-01
POLR3A	-0.366	6.430e-01	-0.290	0.460	0.475	4.428e-01
ZNF780A	-0.226	5.893e-01	0.806	0.426	0.475	4.444e-01
KDM4A	0.101	4.599e-01	-0.567	0.450	0.476	4.460e-01
LANA	0.048	4.808e-01	-0.994	0.460	0.477	4.484e-01
ZNF140	-0.537	7.042e-01	1.011	0.435	0.477	4.492e-01
L3MBTL2	-0.006	5.023e-01	-0.250	0.441	0.478	4.516e-01
EGR1	-0.421	6.631e-01	-1.553	0.504	0.480	4.557e-01
ZNF429	-0.227	5.897e-01	0.692	0.426	0.481	4.581e-01
ZNF304	-0.261	6.031e-01	0.794	0.425	0.482	4.605e-01
CHD2	-0.430	6.665e-01	-1.740	0.523	0.483	4.629e-01
NFIL3	-0.143	5.568e-01	0.239	0.430	0.484	4.637e-01
UHRF2	0.218	4.139e-01	-0.974	0.448	0.484	4.637e-01
EZH1	-0.327	6.280e-01	-1.698	0.504	0.485	4.661e-01
MYBL2	-0.007	5.027e-01	-0.230	0.437	0.485	4.661e-01
NOTCH1	-0.752	7.741e-01	-1.053	0.496	0.485	4.669e-01
C11orf30	-0.288	6.132e-01	0.033	0.441	0.487	4.702e-01
NR2F1	-0.429	6.662e-01	0.119	0.446	0.488	4.726e-01
CHD5	-0.172	5.684e-01	0.241	0.429	0.489	4.750e-01
PRDM12	-0.368	6.434e-01	1.067	0.420	0.489	4.750e-01
LARP7	-0.834	7.978e-01	0.061	0.463	0.489	4.758e-01
ELF1	-0.586	7.211e-01	-1.490	0.505	0.490	4.766e-01
GTF3C2	0.015	4.939e-01	-0.847	0.451	0.490	4.766e-01
ZNF331	-0.355	6.387e-01	1.027	0.421	0.490	4.766e-01
CHD8	-0.807	7.903e-01	-0.646	0.484	0.491	4.807e-01
FOXO3	-0.476	6.828e-01	-0.921	0.475	0.493	4.847e-01
BRD3	-0.803	7.891e-01	-1.549	0.520	0.495	4.896e-01
ZFP64	-0.442	6.707e-01	-0.171	0.449	0.496	4.912e-01
HSF1	-0.462	6.779e-01	-1.449	0.487	0.496	4.912e-01
HDGF	-1.229	8.905e-01	-0.702	0.518	0.498	4.952e-01
CBX6	-0.150	5.595e-01	-0.917	0.453	0.499	4.976e-01
IKZF2	-0.112	5.447e-01	-0.369	0.438	0.499	4.976e-01
IRAK4	0.150	4.405e-01	-1.019	0.445	0.499	4.985e-01
ZMYND8	-0.211	5.836e-01	-1.373	0.466	0.500	4.993e-01
BCAT1	-0.242	5.954e-01	0.154	0.430	0.500	4.993e-01
DPF2	-0.542	7.062e-01	0.201	0.443	0.501	5.017e-01
TRIM24	-0.359	6.400e-01	-0.415	0.451	0.501	5.025e-01
TTF2	-0.319	6.252e-01	-0.873	0.459	0.501	5.033e-01
HNF4G	-0.538	7.049e-01	0.375	0.436	0.505	5.114e-01
ZNF554	-0.175	5.696e-01	-0.050	0.429	0.505	5.114e-01
ZSCAN16	-0.753	7.743e-01	-1.453	0.496	0.505	5.122e-01
KDM4C	0.150	4.403e-01	-1.243	0.445	0.506	5.130e-01
ADNP	-0.189	5.751e-01	-0.302	0.436	0.506	5.130e-01
ZNF674	0.111	4.558e-01	-0.991	0.443	0.507	5.162e-01
ZNF765	-0.381	6.484e-01	0.792	0.420	0.508	5.179e-01
ZNF605	-0.315	6.234e-01	0.430	0.423	0.508	5.179e-01
PAX6	-1.046	8.523e-01	-0.329	0.478	0.508	5.187e-01
ZNF664	-0.262	6.034e-01	-0.221	0.434	0.509	5.211e-01
CAMTA2	-0.233	5.922e-01	0.074	0.426	0.510	5.219e-01
MBD4	-0.107	5.427e-01	-0.382	0.432	0.510	5.235e-01
RYBP	-0.158	5.626e-01	-1.522	0.463	0.511	5.251e-01
ZNF611	-0.068	5.273e-01	-0.530	0.434	0.512	5.276e-01
INTS11	0.120	4.523e-01	-1.299	0.445	0.513	5.284e-01
MTA3	-1.355	9.123e-01	-1.432	0.545	0.513	5.300e-01
ZFX	-0.431	6.669e-01	-0.957	0.461	0.514	5.308e-01
ZNF343	0.113	4.549e-01	-1.267	0.443	0.515	5.340e-01
SMARCC2	-0.095	5.377e-01	-0.565	0.434	0.516	5.356e-01
ZBTB17	-0.635	7.374e-01	-1.087	0.470	0.518	5.397e-01
PRDM11	-0.316	6.240e-01	-1.455	0.464	0.518	5.405e-01
ARID5B	-0.138	5.551e-01	-0.500	0.431	0.520	5.445e-01
ZNF563	-0.385	6.499e-01	0.447	0.419	0.520	5.453e-01
ETV1	-0.352	6.376e-01	-1.148	0.456	0.521	5.469e-01
HDAC1	-0.988	8.383e-01	-1.656	0.524	0.522	5.493e-01
ZNF44	-0.141	5.559e-01	-0.523	0.430	0.523	5.517e-01
BRPF3	0.102	4.595e-01	-1.485	0.446	0.523	5.517e-01
EGR2	-0.303	6.190e-01	-0.747	0.444	0.524	5.541e-01
SMARCA5	-0.557	7.114e-01	-0.073	0.438	0.524	5.541e-01
ZNF788	-0.503	6.925e-01	0.064	0.432	0.525	5.565e-01
ZNF800	-0.496	6.902e-01	0.434	0.422	0.527	5.598e-01
AHR	-1.009	8.436e-01	0.369	0.446	0.527	5.606e-01
USF2	-0.911	8.188e-01	-1.704	0.508	0.528	5.622e-01
PR	-3.191	9.993e-01	0.218	0.515	0.531	5.694e-01
SIRT6	-0.338	6.321e-01	0.008	0.422	0.533	5.734e-01
ESRRA	-0.683	7.528e-01	-1.384	0.471	0.534	5.766e-01
ZNF366	-0.316	6.239e-01	-0.895	0.440	0.537	5.837e-01
ZNF35	-0.171	5.677e-01	-0.682	0.429	0.538	5.845e-01
HDAC6	-0.678	7.512e-01	-1.223	0.463	0.539	5.869e-01
EHMT2	-1.875	9.696e-01	0.168	0.484	0.541	5.909e-01
MYF5	-0.285	6.123e-01	-0.408	0.424	0.543	5.956e-01
POLR2M	-0.643	7.400e-01	-1.787	0.484	0.543	5.964e-01
ZNF618	-0.287	6.130e-01	-0.384	0.424	0.543	5.964e-01
YBX1	-1.112	8.668e-01	0.922	0.426	0.548	6.067e-01
ZNF786	-0.077	5.306e-01	-1.334	0.434	0.549	6.090e-01
NBN	-1.317	9.060e-01	-0.973	0.485	0.550	6.122e-01
FEZF1	-0.565	7.141e-01	-0.208	0.426	0.552	6.153e-01
ZNF573	-0.528	7.014e-01	0.273	0.412	0.554	6.192e-01
SPDEF	-0.966	8.331e-01	-1.256	0.468	0.555	6.231e-01
CHD7	-0.961	8.318e-01	-0.762	0.456	0.560	6.324e-01
BCL3	-2.030	9.788e-01	-1.298	0.537	0.561	6.347e-01
E2F5	-0.309	6.214e-01	-1.028	0.430	0.562	6.371e-01
CCNT2	-0.184	5.730e-01	-1.289	0.429	0.564	6.425e-01
ZNF175	-0.976	8.356e-01	0.126	0.430	0.566	6.455e-01
ARID2	-0.361	6.410e-01	-1.620	0.449	0.567	6.471e-01
ZNF93	-0.373	6.455e-01	-0.505	0.420	0.567	6.486e-01
ZBTB40	-1.805	9.645e-01	-1.838	0.568	0.568	6.501e-01
TAF1	-1.055	8.544e-01	-1.693	0.486	0.570	6.539e-01
MXI1	-0.771	7.797e-01	-2.291	0.513	0.570	6.547e-01
ZNF778	-0.607	7.280e-01	-0.681	0.433	0.571	6.562e-01
BACH1	-0.897	8.152e-01	-0.845	0.445	0.572	6.577e-01
ZNF263	-0.463	6.785e-01	-1.323	0.439	0.573	6.600e-01
PTTG1	-0.789	7.850e-01	0.288	0.411	0.574	6.623e-01
KLF6	-0.199	5.788e-01	-1.409	0.428	0.575	6.645e-01
MECP2	-0.543	7.065e-01	-1.678	0.455	0.576	6.660e-01
ZNF320	-0.854	8.034e-01	0.196	0.416	0.576	6.668e-01
TFAP2C	-1.391	9.179e-01	-0.279	0.453	0.577	6.683e-01
MBD1	-0.436	6.685e-01	-1.465	0.439	0.578	6.706e-01
ESR1	-16.455	1.000e+00	-0.308	0.501	0.579	6.736e-01
ZNF318	-0.924	8.224e-01	-0.472	0.433	0.581	6.773e-01
INTS3	-0.177	5.703e-01	-1.563	0.429	0.582	6.788e-01
MYC	-4.029	1.000e+00	-1.665	0.577	0.582	6.795e-01
PRDM10	-0.328	6.286e-01	-1.308	0.427	0.582	6.803e-01
OSR2	-0.692	7.556e-01	-0.484	0.424	0.583	6.825e-01
MBD2	-1.645	9.500e-01	-1.839	0.532	0.585	6.855e-01
NFYB	-1.119	8.684e-01	-1.374	0.462	0.585	6.862e-01
LMTK3	-0.986	8.379e-01	0.033	0.421	0.589	6.935e-01
ZNF354C	-0.821	7.943e-01	0.451	0.396	0.593	7.023e-01
GLIS1	-0.778	7.817e-01	-1.306	0.438	0.596	7.073e-01
MED1	-4.097	1.000e+00	-1.855	0.581	0.596	7.088e-01
ASH1L	-0.312	6.224e-01	-1.448	0.423	0.597	7.095e-01
CREM	-0.979	8.363e-01	-0.862	0.438	0.597	7.102e-01
ZNF134	-0.564	7.138e-01	-0.431	0.410	0.599	7.131e-01
MKL1	-0.398	6.547e-01	-1.182	0.419	0.600	7.166e-01
ZNF547	-0.988	8.383e-01	-1.553	0.455	0.603	7.216e-01
ZNF707	-1.191	8.832e-01	0.269	0.415	0.603	7.223e-01
PTRF	-0.970	8.341e-01	0.226	0.407	0.603	7.223e-01
SOX9	-0.854	8.035e-01	-1.718	0.454	0.604	7.237e-01
ZNF589	-0.629	7.355e-01	-0.984	0.423	0.604	7.244e-01
KDM5C	-0.650	7.421e-01	-1.614	0.439	0.605	7.251e-01
PLRG1	-1.165	8.779e-01	0.658	0.406	0.605	7.251e-01
ZNF600	-0.454	6.751e-01	-1.368	0.424	0.605	7.258e-01
POLR2A	-18.108	1.000e+00	-1.826	0.570	0.606	7.286e-01
PPARG	-3.544	9.998e-01	-1.086	0.503	0.608	7.314e-01
BPTF	-0.275	6.085e-01	-1.692	0.424	0.609	7.328e-01
STAT2	-1.073	8.583e-01	-1.317	0.447	0.610	7.349e-01
CD59	-0.537	7.042e-01	-0.782	0.411	0.610	7.363e-01
ZNF217	-0.814	7.923e-01	0.033	0.396	0.613	7.411e-01
SOX13	-0.746	7.722e-01	-0.688	0.416	0.614	7.431e-01
PITX3	-0.663	7.462e-01	-0.470	0.405	0.615	7.445e-01
CDK6	-0.349	6.364e-01	-1.594	0.421	0.615	7.452e-01
ZC3H8	-0.872	8.085e-01	-1.381	0.434	0.617	7.486e-01
ZNF467	-0.427	6.653e-01	-1.430	0.417	0.617	7.493e-01
HHEX	-0.940	8.264e-01	-0.190	0.406	0.619	7.519e-01
RFX5	-1.207	8.864e-01	-2.090	0.485	0.620	7.540e-01
LEF1	-1.086	8.612e-01	-1.541	0.450	0.620	7.540e-01
SIX1	-0.982	8.369e-01	-0.505	0.419	0.620	7.540e-01
GTF3C5	-0.273	6.075e-01	-1.981	0.431	0.621	7.566e-01
HDAC2	-1.386	9.171e-01	-2.548	0.534	0.622	7.586e-01
REST	-7.683	1.000e+00	-0.379	0.471	0.622	7.586e-01
ZNF292	-0.906	8.176e-01	0.152	0.391	0.622	7.586e-01
TCOF1	-0.396	6.539e-01	-1.593	0.419	0.624	7.619e-01
GATAD2B	-1.427	9.232e-01	-1.758	0.474	0.625	7.639e-01
GABPA	-2.308	9.895e-01	-1.629	0.503	0.625	7.646e-01
EGLN2	-0.446	6.723e-01	-1.458	0.416	0.625	7.646e-01
SON	-0.661	7.458e-01	-0.722	0.405	0.629	7.704e-01
DDX20	-1.298	9.029e-01	-0.641	0.432	0.629	7.704e-01
ZBTB42	-0.621	7.325e-01	-0.932	0.407	0.630	7.724e-01
BRD1	-0.338	6.323e-01	-1.768	0.422	0.630	7.724e-01
NEUROG2	-1.641	9.496e-01	0.021	0.427	0.631	7.749e-01
NFATC3	-0.498	6.906e-01	-1.409	0.413	0.631	7.749e-01
TEAD2	-0.997	8.406e-01	-0.305	0.408	0.632	7.756e-01
POLR2H	-0.688	7.541e-01	-1.195	0.414	0.633	7.788e-01
NR5A2	-1.371	9.148e-01	-0.158	0.418	0.634	7.801e-01
CHAMP1	-0.799	7.880e-01	-1.212	0.417	0.635	7.813e-01
E2F2	-0.669	7.483e-01	-0.885	0.405	0.636	7.838e-01
SCML2	-0.716	7.629e-01	-1.685	0.428	0.638	7.876e-01
ZNF483	-0.458	6.767e-01	-1.622	0.415	0.641	7.925e-01
ZEB2	-0.956	8.305e-01	-1.564	0.430	0.644	7.968e-01
SF1	-0.996	8.403e-01	0.143	0.386	0.644	7.968e-01
SETDB1	-2.799	9.974e-01	-0.938	0.465	0.646	8.011e-01
E2F6	-0.771	7.798e-01	-2.045	0.442	0.648	8.035e-01
ZBTB6	-0.892	8.139e-01	-1.560	0.424	0.648	8.041e-01
UBTF	-0.863	8.059e-01	-1.919	0.439	0.648	8.046e-01
MEF2D	-0.988	8.383e-01	-0.540	0.405	0.650	8.070e-01
ZNF584	-0.933	8.245e-01	-1.200	0.416	0.650	8.076e-01
MORC2	-1.415	9.215e-01	-1.535	0.447	0.650	8.076e-01
ZNF768	-0.928	8.233e-01	-0.327	0.390	0.651	8.082e-01
HIC1	-0.545	7.070e-01	-1.874	0.424	0.652	8.100e-01
ZNF121	-1.029	8.482e-01	-1.670	0.435	0.653	8.117e-01
HAND2	-0.998	8.408e-01	-0.081	0.386	0.654	8.129e-01
HEXIM1	-0.932	8.244e-01	-2.226	0.456	0.655	8.146e-01
YY1	-4.054	1.000e+00	-1.939	0.514	0.656	8.169e-01
MAPK1	-0.806	7.898e-01	-2.034	0.438	0.657	8.186e-01
KLF12	-0.488	6.874e-01	-1.752	0.414	0.659	8.214e-01
ZNF585B	-1.205	8.860e-01	-0.263	0.399	0.660	8.237e-01
ZNF488	-1.248	8.940e-01	-0.208	0.398	0.662	8.259e-01
PPARD	-0.665	7.471e-01	-1.463	0.405	0.663	8.276e-01
ASCL1	-3.949	1.000e+00	-0.317	0.445	0.663	8.281e-01
PBX2	-1.685	9.540e-01	-1.544	0.453	0.664	8.298e-01
ZNF287	-1.123	8.694e-01	0.109	0.378	0.666	8.320e-01
NEUROD1	-2.121	9.830e-01	-0.845	0.445	0.666	8.325e-01
E2F1	-5.680	1.000e+00	-2.108	0.526	0.670	8.384e-01
ZNF8	-1.464	9.284e-01	-0.920	0.424	0.670	8.389e-01
ZBTB26	-0.709	7.608e-01	-2.277	0.441	0.671	8.394e-01
HOXA4	-0.430	6.663e-01	-2.044	0.417	0.673	8.420e-01
ZNF438	-0.924	8.222e-01	-1.578	0.415	0.673	8.426e-01
HMGN3	-0.488	6.871e-01	-1.973	0.414	0.675	8.457e-01
PAF1	-2.310	9.896e-01	-1.639	0.466	0.675	8.462e-01
IRF9	-1.229	8.904e-01	-0.413	0.396	0.676	8.467e-01
ASH2L	-1.232	8.910e-01	-0.542	0.401	0.677	8.477e-01
KAT7	-0.501	6.918e-01	-1.968	0.413	0.678	8.492e-01
POLR2B	-1.123	8.694e-01	-1.756	0.430	0.678	8.492e-01
TAF3	-0.594	7.239e-01	-1.812	0.408	0.678	8.502e-01
ZKSCAN5	-0.386	6.503e-01	-2.200	0.419	0.680	8.527e-01
GLYR1	-0.418	6.620e-01	-2.144	0.418	0.681	8.542e-01
CREB1	-3.372	9.996e-01	-2.435	0.540	0.682	8.547e-01
ZBTB48	-2.174	9.851e-01	-0.693	0.435	0.682	8.552e-01
RB1	-1.959	9.749e-01	-1.840	0.465	0.683	8.562e-01
SP7	-0.551	7.093e-01	-2.087	0.420	0.683	8.562e-01
SUPT5H	-2.117	9.829e-01	-1.823	0.466	0.683	8.571e-01
NCAPG2	-1.130	8.707e-01	-0.256	0.378	0.684	8.576e-01
H2AFX	-1.811	9.649e-01	-0.392	0.419	0.684	8.581e-01
ZSCAN20	-0.891	8.135e-01	-1.617	0.407	0.684	8.586e-01
XBP1	-1.670	9.525e-01	-1.570	0.443	0.684	8.586e-01
E2F4	-2.156	9.845e-01	-1.990	0.475	0.686	8.605e-01
PYGO2	-1.242	8.929e-01	-0.514	0.393	0.686	8.605e-01
E2F3	-0.538	7.045e-01	-1.981	0.411	0.686	8.605e-01
FOXM1	-5.362	1.000e+00	-2.552	0.545	0.686	8.610e-01
FOXK1	-1.485	9.312e-01	-0.845	0.414	0.688	8.629e-01
ZNF558	-0.999	8.410e-01	-1.650	0.416	0.688	8.634e-01
ORC1	-0.773	7.803e-01	-1.602	0.399	0.688	8.639e-01
PHF2	-0.758	7.759e-01	-1.928	0.414	0.689	8.648e-01
ZNF644	-1.051	8.533e-01	-1.488	0.409	0.691	8.671e-01
HMGN1	-0.787	7.844e-01	-1.611	0.398	0.692	8.680e-01
MAFB	-0.877	8.099e-01	-1.430	0.393	0.692	8.680e-01
ID3	-0.941	8.268e-01	-1.572	0.406	0.692	8.685e-01
GTF2F1	-1.300	9.032e-01	-2.265	0.457	0.692	8.685e-01
ZNF138	-1.074	8.586e-01	-0.555	0.381	0.692	8.685e-01
ZBTB33	-3.191	9.993e-01	-2.113	0.493	0.694	8.713e-01
WDR5	-1.295	9.023e-01	-2.145	0.450	0.694	8.713e-01
APOBEC3B	-0.957	8.307e-01	-1.113	0.389	0.694	8.713e-01
BTAF1	-0.861	8.055e-01	-1.513	0.394	0.695	8.722e-01
ARRB1	-1.300	9.032e-01	-0.571	0.393	0.696	8.731e-01
AGO1	-1.239	8.923e-01	-1.057	0.404	0.696	8.740e-01
ZNF335	-0.473	6.820e-01	-2.412	0.425	0.696	8.740e-01
ZNF143	-3.317	9.995e-01	-2.268	0.506	0.697	8.744e-01
ZNF610	-1.199	8.847e-01	-2.469	0.458	0.697	8.753e-01
FAM208A	-0.923	8.221e-01	-1.787	0.409	0.700	8.779e-01
ELK3	-0.758	7.757e-01	-1.749	0.400	0.700	8.779e-01
ZNF48	-1.294	9.022e-01	-0.214	0.364	0.704	8.836e-01
WHSC1	-1.231	8.908e-01	-0.938	0.393	0.705	8.844e-01
TBL1X	-0.567	7.148e-01	-2.103	0.410	0.706	8.857e-01
ZNF274	-1.663	9.519e-01	-0.013	0.384	0.708	8.877e-01
SPIN1	-0.816	7.928e-01	-1.733	0.396	0.708	8.877e-01
ZNF146	-1.360	9.130e-01	-1.605	0.418	0.708	8.882e-01
ZNF16	-1.509	9.344e-01	-0.831	0.402	0.709	8.886e-01
CREB3L4	-1.042	8.512e-01	-1.194	0.384	0.712	8.922e-01
EMX1	-0.947	8.283e-01	-2.437	0.437	0.712	8.930e-01
ZNF197	-0.994	8.400e-01	-1.710	0.403	0.715	8.962e-01
ZNF671	-0.780	7.822e-01	-1.914	0.399	0.716	8.966e-01
BRCA1	-2.333	9.902e-01	-2.096	0.467	0.718	8.990e-01
KLF1	-1.821	9.657e-01	-2.664	0.479	0.720	9.009e-01
LRWD1	-1.430	9.237e-01	-0.044	0.347	0.720	9.009e-01
POU2F1	-1.400	9.192e-01	-0.220	0.352	0.720	9.016e-01
DNMT3B	-2.050	9.798e-01	-1.731	0.441	0.721	9.020e-01
BCL11B	-1.649	9.504e-01	-1.728	0.428	0.724	9.054e-01
SP4	-0.937	8.256e-01	-2.387	0.428	0.725	9.065e-01
ZNF394	-0.601	7.262e-01	-2.659	0.421	0.727	9.079e-01
AFF4	-2.494	9.937e-01	-1.864	0.452	0.727	9.087e-01
ZNF711	-0.933	8.245e-01	-1.733	0.390	0.728	9.097e-01
BRD2	-2.128	9.833e-01	-2.121	0.459	0.729	9.105e-01
ZKSCAN1	-1.868	9.691e-01	-1.887	0.439	0.731	9.122e-01
HES1	-1.509	9.343e-01	-1.549	0.409	0.732	9.133e-01
ASXL1	-0.600	7.256e-01	-2.313	0.408	0.732	9.136e-01
ZXDC	-1.147	8.744e-01	-1.278	0.376	0.733	9.147e-01
ZNF701	-1.122	8.691e-01	-1.402	0.378	0.734	9.154e-01
DROSHA	-0.858	8.047e-01	-2.551	0.423	0.736	9.171e-01
SOX10	-1.343	9.103e-01	-0.613	0.358	0.736	9.171e-01
SIN3A	-2.227	9.870e-01	-2.371	0.471	0.736	9.174e-01
ZKSCAN8	-1.313	9.054e-01	-1.562	0.396	0.738	9.187e-01
GATAD1	-1.405	9.200e-01	-1.916	0.418	0.738	9.191e-01
ZNF430	-1.442	9.253e-01	-0.383	0.346	0.739	9.201e-01
AEBP2	-1.624	9.478e-01	-0.852	0.388	0.742	9.224e-01
ZNF189	-0.599	7.255e-01	-2.508	0.408	0.742	9.227e-01
ZMIZ1	-1.026	8.475e-01	-1.974	0.402	0.742	9.227e-01
ETS2	-1.743	9.593e-01	-1.747	0.424	0.742	9.230e-01
ZNF682	-0.916	8.201e-01	-2.258	0.412	0.743	9.233e-01
PRAME	-0.842	8.000e-01	-2.067	0.395	0.743	9.240e-01
ZFP37	-0.646	7.410e-01	-2.840	0.417	0.744	9.243e-01
SREBF1	-2.187	9.856e-01	-2.057	0.448	0.745	9.252e-01
ZIC2	-1.035	8.497e-01	-1.707	0.384	0.745	9.256e-01
ORC2	-1.033	8.492e-01	-1.713	0.384	0.746	9.259e-01
RAD51	-1.743	9.593e-01	-1.290	0.404	0.748	9.277e-01
CENPC	-1.595	9.447e-01	-0.219	0.317	0.748	9.277e-01
ZBTB7A	-2.037	9.792e-01	-2.354	0.458	0.749	9.287e-01
ZNF207	-2.528	9.943e-01	-0.302	0.391	0.749	9.287e-01
GABP	-1.161	8.771e-01	-2.135	0.414	0.750	9.296e-01
DPF1	-1.184	8.818e-01	-2.203	0.417	0.750	9.299e-01
ZFP41	-1.756	9.605e-01	-0.438	0.372	0.751	9.302e-01
RPE	-1.582	9.431e-01	-1.900	0.418	0.752	9.317e-01
SIX4	-1.512	9.347e-01	-0.491	0.334	0.753	9.320e-01
KLF8	-0.851	8.027e-01	-2.674	0.416	0.755	9.337e-01
HEY1	-1.051	8.533e-01	-2.299	0.416	0.756	9.349e-01
CHD1	-3.125	9.991e-01	-2.307	0.463	0.758	9.360e-01
CBFA2T2	-1.133	8.714e-01	-1.673	0.377	0.758	9.366e-01
ZNF692	-0.751	7.736e-01	-2.863	0.412	0.759	9.369e-01
BANP	-1.601	9.453e-01	-1.498	0.394	0.759	9.372e-01
CTBP2	-1.328	9.079e-01	-2.429	0.429	0.759	9.372e-01
GRHL1	-1.314	9.056e-01	-1.300	0.362	0.760	9.380e-01
POLR2AphosphoS5	-1.512	9.347e-01	-2.193	0.425	0.761	9.386e-01
NRF1	-4.820	1.000e+00	-2.225	0.458	0.766	9.421e-01
TSHZ1	-1.144	8.737e-01	-2.079	0.400	0.766	9.426e-01
C17orf49	-1.014	8.447e-01	-2.245	0.405	0.767	9.434e-01
GPS2	-0.813	7.918e-01	-2.399	0.396	0.770	9.452e-01
CREB3	-1.551	9.395e-01	-1.445	0.381	0.770	9.455e-01
KAT5	-1.854	9.681e-01	-1.789	0.414	0.772	9.468e-01
AUTS2	-0.927	8.229e-01	-2.227	0.391	0.774	9.478e-01
NR2C2	-3.795	9.999e-01	-2.041	0.440	0.776	9.495e-01
HOXA6	-0.965	8.328e-01	-2.164	0.388	0.778	9.507e-01
ZNF528	-0.731	7.677e-01	-3.029	0.401	0.780	9.519e-01
GTF2A2	-1.364	9.138e-01	-1.532	0.356	0.780	9.521e-01
NONO	-2.033	9.790e-01	-0.557	0.358	0.780	9.524e-01
KMT2D	-3.213	9.993e-01	-1.912	0.429	0.781	9.528e-01
ZNF837	-1.685	9.540e-01	-1.598	0.390	0.783	9.542e-01
ZXDB	-0.934	8.249e-01	-2.823	0.406	0.784	9.544e-01
HLTF	-1.421	9.223e-01	-1.853	0.389	0.784	9.547e-01
MRE11A	-1.414	9.213e-01	-1.946	0.391	0.785	9.556e-01
ZBTB8A	-0.964	8.325e-01	-2.775	0.406	0.786	9.558e-01
CTBP1	-1.902	9.714e-01	-1.535	0.392	0.786	9.560e-01
USP49	-1.689	9.544e-01	-0.634	0.275	0.788	9.569e-01
ZSCAN29	-1.391	9.179e-01	-2.096	0.400	0.788	9.571e-01
ATF1	-2.799	9.974e-01	-2.225	0.439	0.789	9.575e-01
INO80	-2.300	9.893e-01	-2.225	0.435	0.789	9.578e-01
FOXG1	-1.243	8.930e-01	-1.845	0.369	0.791	9.588e-01
TFDP1	-2.191	9.858e-01	-1.992	0.421	0.793	9.599e-01
RBBP5	-2.138	9.837e-01	-2.544	0.441	0.794	9.605e-01
IRAK1	-0.930	8.237e-01	-2.454	0.390	0.795	9.611e-01
CBX1	-1.259	8.960e-01	-2.573	0.412	0.795	9.613e-01
ZNF639	-2.241	9.875e-01	-2.101	0.426	0.795	9.613e-01
ELK1	-3.233	9.994e-01	-1.975	0.425	0.796	9.619e-01
ZFP2	-1.040	8.509e-01	-3.149	0.410	0.797	9.623e-01
ZNF101	-1.398	9.190e-01	-3.231	0.425	0.797	9.623e-01
GLIS2	-1.069	8.575e-01	-2.737	0.406	0.797	9.623e-01
ETV7	-1.273	8.984e-01	-1.885	0.366	0.797	9.625e-01
L3MBTL4	-0.946	8.280e-01	-2.449	0.389	0.799	9.633e-01
IRF3	-1.694	9.549e-01	-1.906	0.397	0.799	9.635e-01
